barcode,itemcallnumber,isbn,title,subtitle,author,pages,publishercode,copyrightdate,price
20827,"515.35 T18 ZIL",9789353502539,"A  first course in differential equations with modelling applications",,"Zill, Dennis G.",,Cengage,2018,699.00
20828,"512.7 T21 KOW",9781108840965,"An introduction to probabilistic number theory",,"Kowalski, Emmanuel",,"Cambridge University Press",2021,4232.14
20829,"519.4 T17 MIL",9781009018586,"Algebric groups: the theory of group scheme of finite tpe over a field",,"Milne, J.S",,"Cambridge University Press",2017,4233.00
20830,"512 T24 SUL",9781292444529,Precalculus,,"Sullivan,Michael",,Pearson,2024,6348.74
20831,"621.402 T22 CHA",978933257506,"Heat transfer",,"Chapman, Alan",,Pearson,2022,825.00
20832,"332 T23 DRA",978194466067,"Introduction to finance: financial mangement & investment management",,"Drake, PamelaP; Favvozzi, Frank J …etal",,"World Scientific",2023,1995.00
20833,"332.64 T23 MIC",978194466028,"Stock markets and corporate finance: a premier",,"Michale, Dempsey",,"World Scientific",2023,1295.00
20834,"519.6 T23 CAR",9781944660529,"Classical and modern optimization",,"Carlier, Guillaume",,"World Scientific",2023,1395.00
20835,"515 T21 HUN",978000098973,"Applied analysis",,"Hunter, John K; Nachterhaele",,"World Scientific",2021,1450.00
20836,"519.2 T23 MAS",9781944660802,"Introduction to ptobability theory",,"Moshayedi, Nima",,"World Scientific",2023,1195.00
20837,"539.7 T22 NAU",9781913806811,"Atom and molecular physics",,"Navr, Barbie",,"World Scientific",2022,11112.15
20838,"536.7 T20 CLO",97819132290928,"Quantum mechanics and thermodynamics",,"Close, Carson",,"World Scientific",2020,7937.25
20839,"531.1133 T20 NAU",9781913229207,"Oscillation and waves: fundamental concept",,"Navr, Barbie; oyo lilly",,"World Scientific",2020,8995.55
20840,"620.5 T21 BER",9789390012428,"Applied nanotechnology for quantum mechanics",,"Berry, Helon",,"Amiga Press Inc.",2021,1895.00
20841,"530.14 T15 FIT",9789814689953,"Quantum mechanics  ",,"Fitzpatrick, Richard",,"World Scientific",2015,5650.80
20842,"530.120246 T17 MAY",9789813148017,"Quantum mechaics for electrical engineers",,"Mayergoyz, Isaak",,"World Scientific",2017,5650.80
20843,"535 T18 MIL",9781682504239,"Optics: principles and applications",,"Miller, Antony",,"Magnum Publishing Ltd.",2018,12880.50
20844,"535 T18 MAC",9781682513941,"Physics of non linear optics",,"Machousky, michaell",,"Intelliz Press",2018,12880.50
20845,"621.3 T21 IDA",9783030155599,"Engineerin electromagnetics",,"Ida, Nathan",,Springer,2021,7247.09
20846,"530.12 T23 SENP",9781009338424,"Introduction to quantum mechanics",,"Sengupta, Krishnendu; Pal, Palahs B",,"Cambridge University Press",2023,900.00
20847,"531 T23 MAR",9788131515742,"Classical dynamicsof particles and system",,"Marian, Thornton;",,Cengage,2023,799.00
20848,"005.133 T19 BER",9789388511025,"Python made simple",,"Beri, Rydhm",,"BPS Publication",2019,699.00
20849,"005.13 T21 KOH",9789390684953,"Basic core python programming",,"Kohli, Meenu",,"BPS Publication",2021,699.00
20850,"005.13 T23 KOH",9789390684069,"Advance core python programming",,"Kohli, Meenu",,"BPB Publication",2023,1199.00
20851,"005.13 T23 KOH",9789390684069,"Advance core python programming",,"Kohli, Meenu",,"BPB Publication",2023,1199.00
20852,"531 T23 GEO",9780000991812,"Lectures on classsical mechanics",,"George, Englert, Berthold",,"World Scientific Publishing",2024,1295.00
20853,"532 T23 GEO",9780000991812,"Lectures on classsical mechanics",,"George, Englert, Berthold",,"World Scientific Publishing",2024,1295.00
20854,"530.4 T24 ZHO",979886130188,"Introduction to soft matter physics",,"Zho, Luwei",,"World Scientific Publishing",2024,1295.00
20855,"530.4 T24 ZHO",979886130188,"Introduction to soft matter physics",,"Zho, Luwei",,"World Scientific Publishing",2024,1295.00
20856,"530.4 T24 ZHO",979886130188,"Introduction to soft matter physics",,"Zho, Luwei",,"World Scientific Publishing",2024,1295.00
20857,"536.7 T21 TOS",9780000990341,"Thermodynamics principles and applications",,"Tosun, Ismail",,"World Scientific Publishing",2021,1795.00
20858,"536.7 T21 TOS",9780000990341,"Thermodynamics principles and applications",,"Tosun, Ismail",,"World Scientific Publishing",2021,1795.00
20859,"530.13 T24 GEO",978000991768,"Lectures on statistical mechanics",,"George, Englert, Berthold",,"World Scientific Publishing",2024,1595.00
20860,"530.13 T24 GEO",978000991768,"Lectures on statistical mechanics",,"George, Englert, Berthold",,"World Scientific Publishing",2024,1595.00
20861,"530.13 T24 GEO",978000991768,"Lectures on statistical mechanics",,"George, Englert, Berthold",,"World Scientific Publishing",2024,1595.00
20862,"541.3 T21 FIT",9780000990396,"Thermodynamics and statistical mechanics",,"Fitzpatrick, Richard",,"World Scientific Publishing",2021,1495.00
20863,"541.3 T21 FIT",9780000990396,"Thermodynamics and statistical mechanics",,"Fitzpatrick, Richard",,"World Scientific Publishing",2021,1495.00
20864,"530.12 T22 REN",9783110570243,"Quantum information theory, concepts and methods",,"Renes, Joseph M",,"De Gruyter",2022,7243.00
20865,"544.62 T22 KUM",9781860944352,"Classical mechanics",,"Kibble, Tom W.B; Beskshire, Frank H",,"Imperial Press",2022,1195.00
20866,"005.133 T22 LAN",9781009005333,"Fundamentals of transport processes",,"Kumaran, V",,"Cambridge University Press",2022,795.00
20867,"005.133 T22 LAM",9789353502898,"Fundamentals of python first programs",,"Lambert, Kenneth A",,"Cengage Learning",2022,549.00
20868,"518 T15 MAT.H",9789332549357,"Numerical methods using MATLAB",,"Mathews, John H.",680p.,Pearson,2015,800.00
20869,"518 T15 MAT.H",9789332549357,"Numerical methods using MATLAB",,"Mathews, John H.",680p.,Pearson,2015,800.00
20870,"006.31 T20 FEN",9789353944902,"Machine learning with python for everyone",,"Fenner, Mark E",,Pearson,2020,795.00
20871,"519.402855 T20 CHA",9789353502874,"MATLAB programming for engineers",,"Chapman, Stephens",,"Cengage Learning",2020,899.00
20872,"621.319 T20 FUL",9781647260071,"Circuits and systems an engineering perspective",,"Fuller, Johnny",,"Clanrye International",2020,12128.00
20873,"621.3815 T17 MIL",9781682512272,"Electronic Amplifiers and circuit design art and practice",,"Miller, Amton",,"Intelliz Press LLC",2017,
20874,"530.12 T22 SHA",9780367723446,"Textbook on modern quantum",,"Sharma, Ac",,"CRC Press",2022,11112.15
20875,"530.15 T21 SVO",9780000990303,"Mathematical methods of theoretical physics",,"Svozil, Karl",,"World Scientific Publishing",2021,1795.00
20876,"530.15 T21 SVO",9780000990303,"Mathematical methods of theoretical physics",,"Svozil, Karl",,"World Scientific Publishing",2021,1795.00
20905,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20906,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20907,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20908,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20909,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20910,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20911,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20912,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20913,"519.282 T08 MLO",9780141026473,"Drunkard's walk",": how randomness rules our lives","Mlodinow, Leonard",252p.,"Penguin books",2009,499.00
20877,"624.1 T14 HUA",9780415659413,"Geotechnics of Organic Soils and PeatHuat",,"Bujang B.K.; Prasad, Arun; Asadi, Afshin; Kazemian, Sina",,"CRC Press",2014,15874.50
20878,"531 T17 GOP",9781482262797,"Wave Propagation in Materials and Structures",,"Gopalakrishnan, Srinivasan",,"CRC Press",2017,15874.50
20879,"541 T14 MUL.S",9781466518230,Biosurfactants,": research trends and applications",,332p.,"CRC Press",2014,2995.00
20880,"615 T13 ALV C",9781849738774,"Smart Materials for Drug Delivery (Rsc Smart Materials)",,"Alvarez-lorenzo,Car Alvarez-lorenzo,Angel (EDT)",," Royal Society of Chemistry",2013,24340.93
20881,"571.8 T14 CON H",9781849737982,"Hydrogels in Cell-Based Therapies",,"Cannon, Che J; Hamley Ian W.",,"Royal Society of Chemistry",2014,16403.63
20882,"616.07 T13 LIA",9783642283901,"Biomedical Optical Imaging Technologies: Design and Applications",,"Liang, Rorigguang (ed.)",,Springer,2013,13589.09
20883,"571.6 T15 KAU H",9781466553811,"Cell and Matrix Mechanics",,"Kaunas, Roland and Zemel, Assat",,"CRC Press",2015,12107.70
20884,"510.9 T23 CAJ",9789386677174,"History of Mathematics",,"Cajori, Florian",,"Manakin Press",2023,795.00
20885,"660.2 N77 JEN",9780123844569,"Mathematical Methods in Chemical Engineering",,"ensen, V. G.; Jeffreys, G. V.",,"Academic Press",1977,6062.15
20886,"621.382 T22 HAO O",9789811663987,"Advances in adaptive radar direction and usage estimation",,"Hao, Chengpeng; Orlando, Danilo; Liu, Jun; Yin, Chaoran",,"Science Press",2022,12683.09
20887,"006.323 T22 KIM",9783030950408,"Artificial intelligence for 6G",,"Kim, Haesik",525p.,Springer,2022,9059.09
20888,"623.82 T21 YAN Y",9789811660955,"Autonomous Underwater Vehicles: Localization, Tracking, and Formation",,"Yan, Jing; Yang, Xian; Zhao, Haiyan; Luo, Xiaoyuan; Guan, Xinping",,Springer,2021,12683.09
20889,"547.23 T14 VAN",9783030924409,"Basic Organic Chemistry for the Life Sciences",,"Vancik,Hrvoj",,Springer,2014,5888.09
